pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_locale,disc_facility,disc_telescope,disc_instrument,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_orbeccen,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,st_age,ra,dec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag
24 Sex c,24 Sex,1,2,Radial Velocity,2010,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,883.00000000,2.080000,13.900,1.240,273.32000,0.86000,Msini,0.559000,0.290000,,K0 IV,5098.00,4.90,1.54,-0.030,[Fe/H],3.50,2.700,155.8684866,-0.9023998,72.0691000,6.4535000,4.2850000,6.2037400
2M0437 b,2MASS J04372171+2651014,1,1,Imaging,2021,Ground,Subaru Telescope,8.2 m Subaru Telescope,Infrared Camera and Spectrograph (IRCS),,118.000000,13.000,1.160,1271.31363,4.00000,Mass,3.180000,,1450,M V,3100.00,0.84,0.17,0.010,[Fe/H],4.50,2.500,69.3405531,26.8502997,128.4840000,16.1860000,10.3860000,14.3374000
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,Imaging,2013,Ground,Paranal Observatory,8.2 m ESO VLT UT4 Yepun Telescope,NACO Camera,,84.000000,12.300,1.100,4131.79000,13.00000,Mass,12.200000,,,M5.5/M6,,,0.19,,,,0.030,15.8992489,-55.2658291,47.2000000,15.7880000,9.2370010,
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,Imaging,2013,Ground,W. M. Keck Observatory,10 m Keck II Telescope,NIRC2 Camera,,52.000000,11.209,1.000,7786.50000,24.50000,Mass,30.400000,,1600,M3.5 V,3530.00,0.37,0.40,,,4.86,0.120,20.7128012,-24.6646128,33.8281000,14.2440000,9.1980000,12.9025000
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,Imaging,2015,Ground,Cerro Tololo Inter-American Observatory,1.5 m CTIO Telescope,SIMON Near-Infrared Spectroimager,,156.000000,16.141,1.440,4417.83700,13.90000,Mass,5.770000,,,M6,3064.00,0.28,0.11,,,4.59,0.035,34.8427046,-39.4230767,40.0896412,,10.4040000,15.0123000
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,Imaging,2010,Space,Hubble Space Telescope,2.4 m Hubble Space Telescope,WFPC2 Camera,,15.000000,12.600,1.130,2383.60000,7.50000,Mass,6.550000,,,M8.5,2936.00,0.23,0.02,,,5.01,0.001,70.4371079,23.0308544,120.4239870,,13.1610000,18.9668000
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,Imaging,2004,Ground,Paranal Observatory,8.2 m ESO VLT UT4 Yepun Telescope,NACO Camera,,55.000000,12.900,1.150,1589.15000,5.00000,Mass,4.070000,,1250,M8,2825.00,0.22,0.02,,,5.03,0.008,181.8890906,-39.5484399,64.3080000,20.1500000,11.9450000,17.4076000
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,3,Eclipse Timing Variations,2015,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,406.00000000,0.920000,13.400,1.200,603.87700,1.90000,Mass,1.380000,0.330000,,,29564.00,0.20,0.48,-0.092,[Fe/H],5.51,,294.6359173,46.0664076,396.3320000,12.6510000,12.9550000,12.1376000
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,Imaging,2016,Ground,W. M. Keck Observatory,10 m Keck II Telescope,NIRC2 Camera,,230.000000,12.300,1.100,3972.87500,12.50000,Mass,11.700000,,,K7 V,4045.00,0.64,0.60,,,4.62,0.120,339.1025931,47.8616830,69.5737000,12.3680000,9.1480000,11.9484000
30 Ari B b,30 Ari B,4,1,Radial Velocity,2009,Ground,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,Coude Echelle Spectrograph,335.10001000,0.990000,12.300,1.100,4392.41060,13.82000,Msini,13.000000,0.290000,,F6 V,6331.00,1.41,1.93,0.190,[Fe/H],4.43,0.910,39.2412736,24.6480103,44.6570000,7.0920900,5.8220000,6.9608500
4 UMa b,4 UMa,1,1,Radial Velocity,2006,Ground,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,Coude Echelle Spectrograph,270.27000000,0.877000,12.600,1.120,2511.48007,7.90200,Msini,6.900000,0.453000,,K1 III,4415.00,18.11,1.23,-0.250,[Fe/H],1.80,4.604,130.0528099,64.3280504,73.4603000,4.5801000,1.7340000,4.2377300
42 Dra b,42 Dra,2,1,Radial Velocity,2008,Ground,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,Coude Echelle Spectrograph,479.10000000,1.190000,13.000,1.160,1233.13000,3.88000,Msini,3.080000,0.380000,,K1.5 III,4200.00,22.03,0.98,-0.460,[Fe/H],1.71,9.490,276.4975053,65.5633652,90.6545000,4.8262000,2.0850000,4.4321600
47 UMa b,47 UMa,1,3,Radial Velocity,1996,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,1078.00000000,2.100000,13.200,1.180,804.08000,2.53000,Msini,1.920000,0.032000,,G0 V,5872.00,1.21,1.06,0.040,[M/H],4.30,6.480,164.8647611,40.4304931,13.7967000,5.0335200,3.7500000,4.8783700
47 UMa c,47 UMa,1,3,Radial Velocity,2001,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,2391.00000000,3.600000,14.200,1.270,171.62100,0.54000,Msini,0.329000,0.098000,,G1 V,5872.00,1.21,1.06,0.040,[M/H],4.30,6.480,164.8647611,40.4304931,13.7967000,5.0335200,3.7500000,4.8783700
47 UMa d,47 UMa,1,3,Radial Velocity,2009,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,14002.00000000,11.600000,13.500,1.200,521.22000,1.64000,Msini,1.160000,0.160000,,G0V,5872.00,1.21,1.06,0.040,[M/H],4.30,6.480,164.8647611,40.4304931,13.7967000,5.0335200,3.7500000,4.8783700
51 Eri b,51 Eri,3,1,Imaging,2015,Ground,Gemini Observatory,8.19 m Gemini South Telescope,Gemini Planet Imager,11688.00000000,13.200000,13.400,1.190,635.66000,2.00000,Mass,1.450000,0.450000,700,F0 IV,7295.00,1.49,1.75,-0.027,[M/H],4.31,0.020,69.4007424,-2.4738245,29.7575000,5.2114900,4.5370000,5.1580600
51 Peg b,51 Peg,1,1,Radial Velocity,1995,Ground,Haute-Provence Observatory,1.93 m Telescope,ELODIE Spectrograph,4.23078500,0.052700,14.300,1.270,146.20180,0.46000,Mass,0.275000,0.013000,,G5V,5758.00,1.18,1.03,0.180,[M/H],4.31,10.000,344.3675399,20.7690958,15.4614000,5.4530900,3.9110000,5.2864700
55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,14.65160000,0.113400,13.900,1.240,263.97850,0.83060,Mass,0.540000,0.000000,700,K0 IV-V,5172.00,0.94,0.91,0.350,[Fe/H],4.43,5.500,133.1468373,28.3298154,12.5855000,5.9508400,4.0150000,5.7297300
55 Cnc c,55 Cnc,2,5,Radial Velocity,2004,Ground,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,44.39890000,0.237300,8.510,0.760,54.47380,0.17140,Mass,0.486000,0.030000,,G8V,5172.00,0.94,0.91,0.350,[Fe/H],4.43,10.200,133.1468373,28.3298154,12.5855000,5.9508400,4.0150000,5.7297300
55 Cnc d,55 Cnc,2,5,Radial Velocity,2002,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,5574.20000000,5.957000,13.000,1.160,1232.49300,3.87800,Mass,3.080000,0.130000,,G8 V,5172.00,0.94,0.91,0.350,[Fe/H],4.43,5.500,133.1468373,28.3298154,12.5855000,5.9508400,4.0150000,5.7297300
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,Ground,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,0.73654740,0.015440,1.875,0.167,7.99000,0.02514,Mass,6.660000,0.050000,1958,G8 V,5172.00,0.94,0.91,0.350,[Fe/H],4.43,10.200,133.1468373,28.3298154,12.5855000,5.9508400,4.0150000,5.7297300
55 Cnc f,55 Cnc,2,5,Radial Velocity,2007,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,259.88000000,0.770800,7.590,0.677,44.81200,0.14100,Mass,0.563000,0.080000,,G8V,5172.00,0.94,0.91,0.350,[Fe/H],4.43,10.200,133.1468373,28.3298154,12.5855000,5.9508400,4.0150000,5.7297300
6 Lyn b,6 Lyn,1,1,Radial Velocity,2008,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,919.86000000,2.028000,13.400,1.200,597.83523,1.88100,Msini,1.370000,0.042000,,K0 IV,4941.00,4.94,1.32,-0.170,[Fe/H],3.16,2.353,97.6960311,58.1611753,54.6599000,5.8730700,3.7010000,5.6068600
61 Vir b,61 Vir,1,3,Radial Velocity,2009,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,4.21500000,0.050201,2.110,0.188,5.10000,0.01600,Msini,2.980000,0.120000,,G5 V,5577.00,0.96,0.94,-0.010,[Fe/H],4.34,8.960,199.5964550,-18.3157745,8.5033200,4.6955000,2.9560000,4.5405200
61 Vir c,61 Vir,1,3,Radial Velocity,2009,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,38.02100000,0.217500,4.460,0.398,18.20000,0.05700,Msini,1.130000,0.140000,,G5 V,5577.00,0.96,0.94,-0.010,[Fe/H],4.34,8.960,199.5964550,-18.3157745,8.5033200,4.6955000,2.9560000,4.5405200
61 Vir d,61 Vir,1,3,Radial Velocity,2009,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,123.01000000,0.476000,5.110,0.456,22.90000,0.07200,Msini,0.943000,0.350000,,G5 V,5577.00,0.96,0.94,-0.010,[Fe/H],4.34,8.960,199.5964550,-18.3157745,8.5033200,4.6955000,2.9560000,4.5405200
7 CMa b,7 CMa,1,2,Radial Velocity,2011,Ground,Anglo-Australian Telescope,3.9 m Anglo-Australian Telescope,UCLES Spectrograph,735.10000000,1.758000,13.400,1.200,587.98550,1.85000,Msin(i)/sin(i),1.340000,0.060000,,K1 III,4826.00,4.87,1.34,0.210,[Fe/H],3.19,4.300,99.1712760,-19.2561808,19.8101000,3.9500000,1.5640000,3.6785300
7 CMa c,7 CMa,1,2,Radial Velocity,2019,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,996.00000000,2.153000,13.900,1.240,276.51210,0.87000,Msin(i)/sin(i),0.566000,0.080000,,K1III(+M),4826.00,4.87,1.34,0.210,[Fe/H],3.19,4.300,99.1712760,-19.2561808,19.8101000,3.9500000,1.5640000,3.6785300
70 Vir b,70 Vir,1,1,Radial Velocity,1996,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,116.68800000,0.481000,12.600,1.130,2380.45000,7.49000,Mass,6.540000,0.398800,,G5V,5495.00,1.89,1.09,-0.090,[Fe/H],3.95,7.770,202.1064898,13.7763085,17.9011000,4.9680800,3.5000000,4.7617800
75 Cet b,75 Cet,2,2,Radial Velocity,2012,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,696.62000000,1.912000,13.300,1.180,787.89662,2.47900,Msini,1.840000,0.093000,,G3 III,4809.00,10.38,1.92,0.100,[Fe/H],2.69,,38.0391598,-1.0350269,82.9613000,5.3532000,3.2070000,5.0934300
75 Cet c,75 Cet,2,2,Radial Velocity,2023,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,2051.62000000,3.929000,13.900,1.240,289.85951,0.91200,Msini,0.593000,0.023000,,G3 III,4809.00,10.38,1.92,0.100,[Fe/H],2.69,,38.0391598,-1.0350269,82.9613000,5.3532000,3.2070000,5.0934300
8 UMi b,8 UMi,1,1,Radial Velocity,2015,Ground,Bohyunsan Optical Astronomical Observatory,1.8 m Telescope,BOES Echelle Spectrograph,93.40000000,0.490000,13.600,1.220,416.35730,1.31000,Msini,0.910000,0.060000,,K0,4847.00,10.30,1.44,-0.030,[Fe/H],2.57,1.700,224.2016850,74.9009379,162.5520000,6.8329500,4.5150000,6.5589600
81 Cet b,81 Cet,1,1,Radial Velocity,2008,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,1005.57000000,2.104000,13.100,1.170,1051.05854,3.30700,Msini,2.570000,0.037000,,G5 III,4734.00,11.21,1.23,-0.110,[Fe/H],2.41,,39.4243555,-3.3963607,101.2600000,5.6430700,3.2660000,5.3758800
91 Aqr b,91 Aqr,3,1,Radial Velocity,2013,Ground,Lick Observatory,0.6 m Coude Auxiliary Telescope,Hamilton Echelle Spectrograph,181.40000000,0.700000,13.100,1.170,1017.00000,3.20000,Msini,2.490000,0.027000,,K0 III,4665.00,11.00,1.40,-0.030,[Fe/H],2.52,3.560,348.9745031,-9.0878076,44.0304000,4.2394600,1.5970000,3.9531100
AB Aur b,AB Aur,1,1,Imaging,2022,Ground,Subaru Telescope,8.2 m Subaru Telescope,Subaru Coronagraphic Extreme Adaptive Opti,,93.900000,12.500,1.120,2860.45566,9.00000,Mass,8.050000,0.400000,,,9770.00,2.96,2.40,,,3.77,0.003,73.9410446,30.5510888,162.1270000,7.0760000,4.2300000,7.0785400
AB Pic b,AB Pic,1,1,Imaging,2005,Ground,Paranal Observatory,8.2 m ESO VLT UT4 Yepun Telescope,NACO Camera,,260.000000,12.300,1.100,4290.50000,13.50000,Mass,12.700000,,,K2 V,5285.00,1.00,0.90,0.040,[Fe/H],4.53,0.030,94.8039208,-58.0541184,50.0475000,9.1300000,6.9810000,8.8378000
AF Lep b,AF Lep,1,1,Imaging,2023,Ground,Paranal Observatory,8.2 m ESO VLT UT3 Melipal Telescope,SPHERE,8030.00000000,8.400000,13.100,1.170,1017.05090,3.20000,Mass,2.490000,0.240000,1400,F8 V,6130.00,1.25,1.20,0.190,[Fe/H],4.40,0.024,81.7699216,-11.9011752,26.8564000,6.3320000,4.9260000,6.1864400
AU Mic b,AU Mic,1,3,Transit,2020,Space,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,TESS CCD Array,8.46299910,0.064500,3.957,0.353,20.12000,0.06330,Mass,1.320000,0.186000,600,M1,3665.00,0.82,0.50,0.120,[M/H],4.40,0.019,311.2911369,-31.3424500,9.7221000,8.8100000,4.5290000,7.8403800
AU Mic c,AU Mic,1,3,Transit,2021,Space,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,TESS CCD Array,18.85899100,0.110100,3.240,0.289,9.60000,0.03020,Mass,1.220000,0.003380,459,M1,3665.00,0.82,0.50,0.120,[M/H],4.40,0.019,311.2911369,-31.3424500,9.7221000,8.8100000,4.5290000,7.8403800
AU Mic d,AU Mic,1,3,Transit Timing Variations,2023,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,12.73596000,,1.020,0.091,1.05300,0.00331,Mass,5.450000,0.003050,,M1,3678.00,0.74,0.51,0.230,[Fe/H],4.40,0.020,311.2911369,-31.3424500,9.7221000,8.8100000,4.5290000,7.8403800
BD+03 2562 b,BD+03 2562,1,1,Radial Velocity,2017,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,481.90000000,1.300000,12.700,1.130,2034.11200,6.40000,Msini,5.460000,0.200000,,,4095.00,32.35,1.14,-0.710,[Fe/H],1.89,5.200,177.5647268,2.7601075,1070.6300000,9.5770000,6.0210000,8.9977000
BD+14 4559 b,BD+14 4559,1,1,Radial Velocity,2009,Ground,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,268.94000000,0.780000,13.800,1.230,330.54320,1.04000,Msini,0.691000,0.290000,,K2 V,4864.00,0.86,0.49,0.170,[Fe/H],4.26,,318.4010002,14.6893834,49.3520000,9.7800000,7.3360000,9.3510800
BD+15 2375 b,BD+15 2375,1,1,Radial Velocity,2016,Ground,Roque de los Muchachos Observatory,3.58 m Telescopio Nazionale Galileo,HARPS-N Spectrograph,153.22000000,0.576000,13.800,1.230,337.21763,1.06100,Msini,0.705000,0.001000,,G5,4649.00,8.95,1.08,-0.220,[Fe/H],2.61,7.410,176.4820239,14.6163182,768.0450000,10.4100000,7.7180000,9.9918000
BD+15 2940 b,BD+15 2940,1,1,Radial Velocity,2013,Ground,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,137.48000000,0.539000,13.700,1.230,352.78000,1.11000,Msini,0.754000,0.260000,,K0,4796.00,14.70,1.10,0.280,[Fe/H],2.80,7.100,240.0956400,15.5467507,426.4200000,9.0100000,6.5250000,8.7178000
BD+20 2457 b,BD+20 2457,1,2,Radial Velocity,2009,Ground,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,379.63000000,1.450000,12.100,1.080,6807.63000,21.42000,Msini,21.100000,0.150000,,K2 II,4137.00,49.00,2.80,-1.000,[Fe/H],1.51,,154.1867820,19.8912626,1539.7100000,9.7430000,6.4200000,9.2268400
BD+20 2457 c,BD+20 2457,1,2,Radial Velocity,2009,Ground,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,621.99000000,2.010000,12.400,1.100,3963.17000,12.47000,Msini,11.400000,0.180000,,K2 II,4137.00,49.00,2.80,-1.000,[Fe/H],1.51,,154.1867820,19.8912626,1539.7100000,9.7430000,6.4200000,9.2268400
BD+20 274 b,BD+20 274,1,1,Radial Velocity,2012,Ground,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,578.20000000,1.300000,13.000,1.160,1334.88600,4.20000,Msini,3.340000,0.210000,,K5 III,4296.00,17.30,0.80,-0.460,[Fe/H],1.99,,25.9203179,21.0052692,1322.5100000,9.3670000,6.1690000,8.9161300
BD+20 594 b,BD+20 594,1,1,Transit,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,41.68550000,0.241000,2.578,0.230,22.24810,0.07000,Mass,7.890000,0.000000,546,G,5766.00,1.08,1.67,-0.150,[Fe/H],4.50,3.340,53.6511231,20.5990205,179.4610000,10.8490000,9.3680000,10.8644000
BD+45 564 b,BD+45 564,1,1,Radial Velocity,2021,Ground,Haute-Provence Observatory,1.93 m Telescope,SOPHIE Spectrograph,307.88000000,0.830000,13.600,1.210,432.24663,1.36000,Msini,0.944000,0.120000,,K1,5004.00,0.81,0.81,-0.090,[Fe/H],4.22,,32.9470485,45.9242187,53.6220000,9.6700000,7.5570000,9.4126600
BD+48 738 b,BD+48 738,1,1,Radial Velocity,2011,Ground,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,392.60000000,1.000000,13.900,1.240,289.22530,0.91000,Msini,0.592000,0.200000,,K0 III,4414.00,11.00,0.74,-0.200,[Fe/H],2.24,,40.7102869,49.5869395,871.4930000,9.1390000,5.9040000,8.6556900
BD+48 740 b,BD+48 740,1,1,Radial Velocity,2018,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,733.00000000,1.700000,13.500,1.200,540.31100,1.70000,Msini,1.210000,0.760000,,K3 III,4534.00,10.33,1.09,-0.130,[Fe/H],2.48,,40.7425426,48.9300579,666.5890000,8.6900000,5.6450000,8.2644900
BD+49 828 b,BD+49 828,1,1,Radial Velocity,2015,Ground,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,2590.00000000,4.200000,13.500,1.210,508.50000,1.60000,Msini,1.140000,0.350000,,K0,4943.00,7.60,1.52,-0.190,[Fe/H],2.85,2.340,45.6406187,49.7299481,442.0420000,9.3810000,6.5710000,9.0285100
BD+55 362 b,BD+55 362,1,1,Radial Velocity,2021,Ground,Haute-Provence Observatory,1.93 m Telescope,SOPHIE Spectrograph,265.59000000,0.780000,14.000,1.250,228.83645,0.72000,Msini,0.458000,0.270000,,K3,5012.00,0.90,0.91,0.180,[Fe/H],4.09,,23.9636676,56.6982282,52.5697000,9.3800000,7.3310000,9.1530500
BD+60 1417 b,BD+60 1417,1,1,Imaging,2021,Space,Wide-field Infrared Survey Explorer (WISE) Sat,0.4 m Telescope,HgCdTe and Si:As 1K Infrared Detectors,,1662.000000,14.684,1.310,4767.42610,15.00000,Mass,8.270000,,1303,K0,4993.00,0.80,1.00,,,4.55,0.100,190.8875453,60.0143636,44.9543000,9.3740000,7.2880000,9.1743900
BD+63 1405 b,BD+63 1405,1,1,Radial Velocity,2021,Ground,Haute-Provence Observatory,1.93 m Telescope,SOPHIE Spectrograph,1198.48000000,2.060000,12.400,1.110,3305.41543,10.40000,Mass,9.530000,0.880000,,K0,5000.00,0.80,0.82,-0.090,[Fe/H],4.20,,271.3979337,63.6700064,38.0473000,8.9600000,6.7800000,8.7050000
BD-00 4475 b,BD-00 4475,1,1,Radial Velocity,2021,Ground,Haute-Provence Observatory,1.93 m Telescope,SOPHIE Spectrograph,723.20000000,1.480000,12.000,1.070,7961.60160,25.05000,Msini,25.300000,0.390000,,G0,5040.00,0.84,0.81,-0.140,[Fe/H],4.25,,347.7108441,0.4085612,42.6402000,9.0100000,6.9960000,8.7810100
BD-06 1339 b,BD-06 1339,1,2,Radial Velocity,2013,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,3.87280000,0.042800,2.850,0.254,8.50000,0.02700,Msini,2.020000,0.000000,,K7/M0 V,4324.00,0.69,0.70,-0.140,[Fe/H],4.74,4.400,88.2511811,-5.9963378,20.2695000,9.7000000,6.3050000,9.1067700
BD-06 1339 c,BD-06 1339,1,2,Radial Velocity,2013,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,125.94000000,0.435000,8.380,0.747,53.00000,0.17000,Msini,0.495000,0.310000,,K7/M0 V,4324.00,0.69,0.70,-0.140,[Fe/H],4.74,4.400,88.2511811,-5.9963378,20.2695000,9.7000000,6.3050000,9.1067700
BD-08 2823 b,BD-08 2823,1,2,Radial Velocity,2009,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,5.60000000,0.060000,3.610,0.322,12.71320,0.04000,Msini,1.480000,0.150000,,K3 V,4816.00,0.71,0.50,-0.060,[Fe/H],4.43,4.500,150.1971964,-9.5165689,41.3342000,9.8600000,7.3230000,9.5033100
BD-08 2823 c,BD-08 2823,1,2,Radial Velocity,2009,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,237.60000000,0.680000,12.500,1.110,104.00000,0.33000,Msini,0.293000,0.190000,,K3 V,4746.00,0.72,0.74,-0.070,[Fe/H],4.13,4.500,150.1971964,-9.5165689,41.3342000,9.8600000,7.3230000,9.5033100
BD-10 3166 b,BD-10 3166,1,1,Radial Velocity,2000,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,3.48777000,0.040000,14.100,1.260,187.51970,0.59000,Msini,0.368000,0.020000,,K0 V,5393.00,0.91,1.47,0.380,[Fe/H],4.69,1.000,164.6191243,-10.7704227,84.4069000,10.0130000,8.1240000,9.8398100
BD-11 4672 b,BD-11 4672,1,2,Radial Velocity,2014,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,1634.00000000,2.360000,14.100,1.250,206.58950,0.65000,Msini,0.405000,0.050000,,K7 V,4550.00,0.64,0.65,-0.350,[Fe/H],4.64,7.400,278.3688659,-11.6370481,27.1665000,10.0300000,6.8670000,9.4851100
